,Modelo,Cut-Off,Predichas,Acertadas,Ratio,Balance
0,,0.0,0,0,0.0,0.0
1,cp_0_0.ckpt,0.5,0,0,0.0,10.0
2,cp_0_0.ckpt,0.5,0,0,0.0,10.0
3,cp_0_0.ckpt,0.5,0,0,0.0,10.0
4,cp_0_0.ckpt,0.5,0,0,0.0,10.0
5,cp_0_1.ckpt,0.5,0,0,0.0,10.0
6,cp_0_1.ckpt,0.5,0,0,0.0,10.0
7,cp_0_1.ckpt,0.5,0,0,0.0,10.0
8,cp_0_1.ckpt,0.5,0,0,0.0,10.0
9,cp_0_2.ckpt,0.5,0,0,0.0,10.0
10,cp_0_2.ckpt,0.5,0,0,0.0,10.0
11,cp_0_2.ckpt,0.5,0,0,0.0,10.0
12,cp_0_2.ckpt,0.5,0,0,0.0,10.0
13,cp_0_3.ckpt,0.5,0,0,0.0,10.0
14,cp_0_3.ckpt,0.5,0,0,0.0,10.0
15,cp_0_3.ckpt,0.5,0,0,0.0,10.0
16,cp_0_3.ckpt,0.5,0,0,0.0,10.0
17,cp_0_4.ckpt,0.5,0,0,0.0,10.0
18,cp_0_4.ckpt,0.5,0,0,0.0,10.0
19,cp_0_4.ckpt,0.5,0,0,0.0,10.0
20,cp_0_4.ckpt,0.5,0,0,0.0,10.0
21,cp_0_5.ckpt,0.5,0,0,0.0,10.0
22,cp_0_5.ckpt,0.5,0,0,0.0,10.0
23,cp_0_5.ckpt,0.5,0,0,0.0,10.0
24,cp_0_5.ckpt,0.5,0,0,0.0,10.0
25,cp_0_6.ckpt,0.5,0,0,0.0,10.0
26,cp_0_6.ckpt,0.5,0,0,0.0,10.0
27,cp_0_6.ckpt,0.5,0,0,0.0,10.0
28,cp_0_6.ckpt,0.5,0,0,0.0,10.0
29,cp_0_7.ckpt,0.5,0,0,0.0,10.0
30,cp_0_7.ckpt,0.5,0,0,0.0,10.0
31,cp_0_7.ckpt,0.5,0,0,0.0,10.0
32,cp_0_7.ckpt,0.5,0,0,0.0,10.0
33,cp_0_8.ckpt,0.5,0,0,0.0,10.0
34,cp_0_8.ckpt,0.5,0,0,0.0,10.0
35,cp_0_8.ckpt,0.5,0,0,0.0,10.0
36,cp_0_8.ckpt,0.5,0,0,0.0,10.0
37,cp_0_9.ckpt,0.5,0,0,0.0,10.0
38,cp_0_9.ckpt,0.5,0,0,0.0,10.0
39,cp_0_9.ckpt,0.5,0,0,0.0,10.0
40,cp_0_9.ckpt,0.5,0,0,0.0,10.0
41,cp_0_10.ckpt,0.5,0,0,0.0,10.0
42,cp_0_10.ckpt,0.5,0,0,0.0,10.0
43,cp_0_10.ckpt,0.5,0,0,0.0,10.0
44,cp_0_10.ckpt,0.5,0,0,0.0,10.0
45,cp_0_11.ckpt,0.5,387,181,46.770025839793284,265.6976778257643
46,cp_0_11.ckpt,0.5,475,216,45.473684210526315,438.89025407764365
47,cp_0_11.ckpt,0.5,475,216,45.473684210526315,438.89025407764365
48,cp_0_11.ckpt,0.5,475,216,45.473684210526315,438.89025407764365
49,cp_0_12.ckpt,0.5,0,0,0.0,10.0
50,cp_0_12.ckpt,0.5,0,0,0.0,10.0
51,cp_0_12.ckpt,0.5,0,0,0.0,10.0
52,cp_0_12.ckpt,0.5,0,0,0.0,10.0
53,cp_0_13.ckpt,0.5,0,0,0.0,10.0
54,cp_0_13.ckpt,0.5,0,0,0.0,10.0
55,cp_0_13.ckpt,0.5,0,0,0.0,10.0
56,cp_0_13.ckpt,0.5,0,0,0.0,10.0
57,cp_0_14.ckpt,0.5,0,0,0.0,10.0
58,cp_0_14.ckpt,0.5,0,0,0.0,10.0
59,cp_0_14.ckpt,0.5,0,0,0.0,10.0
60,cp_0_14.ckpt,0.5,0,0,0.0,10.0
61,cp_0_15.ckpt,0.5,0,0,0.0,10.0
62,cp_0_15.ckpt,0.5,0,0,0.0,10.0
63,cp_0_15.ckpt,0.5,0,0,0.0,10.0
64,cp_0_15.ckpt,0.5,0,0,0.0,10.0
65,cp_0_16.ckpt,0.5,0,0,0.0,10.0
66,cp_0_16.ckpt,0.5,0,0,0.0,10.0
67,cp_0_16.ckpt,0.5,0,0,0.0,10.0
68,cp_0_16.ckpt,0.5,0,0,0.0,10.0
69,cp_0_17.ckpt,0.5,13,6,46.15384615384615,11.129347691834427
70,cp_0_17.ckpt,0.5,16,7,43.75,11.235109882949931
71,cp_0_17.ckpt,0.5,16,7,43.75,11.235109882949931
72,cp_0_17.ckpt,0.5,16,7,43.75,11.235109882949931
73,cp_0_18.ckpt,0.5,748,345,46.12299465240642,4675.477227987296
74,cp_0_18.ckpt,0.5,999,441,44.14414414414414,16813.366520373893
75,cp_0_18.ckpt,0.5,1000,441,44.1,16645.232855170154
76,cp_0_18.ckpt,0.5,1000,441,44.1,16645.232855170154
77,cp_0_19.ckpt,0.5,23,9,39.130434782608695,11.335162400649049
78,cp_0_19.ckpt,0.5,27,11,40.74074074074074,11.786166862410687
79,cp_0_19.ckpt,0.5,27,11,40.74074074074074,11.786166862410687
80,cp_0_19.ckpt,0.5,27,11,40.74074074074074,11.786166862410687
81,cp_0_20.ckpt,0.5,10,3,30.0,10.184929714223614
82,cp_0_20.ckpt,0.5,12,4,33.333333333333336,10.385572829593821
83,cp_0_20.ckpt,0.5,12,4,33.333333333333336,10.385572829593821
84,cp_0_20.ckpt,0.5,12,4,33.333333333333336,10.385572829593821
85,cp_0_22.ckpt,0.5,684,400,58.47953216374269,78575.13715683958
86,cp_0_22.ckpt,0.5,826,468,56.65859564164649,278753.8202187879
87,cp_0_22.ckpt,0.5,826,468,56.65859564164649,278753.8202187879
88,cp_0_22.ckpt,0.5,826,468,56.65859564164649,278753.8202187879
89,cp_0_23.ckpt,0.5,168,96,57.142857142857146,82.8147285598799
90,cp_0_23.ckpt,0.5,209,114,54.54545454545455,111.88892548384887
91,cp_0_23.ckpt,0.5,209,114,54.54545454545455,111.88892548384887
92,cp_0_23.ckpt,0.5,209,114,54.54545454545455,111.88892548384887
93,cp_0_24.ckpt,0.5,2684,1098,40.90909090909091,148830300.28137589
94,cp_0_24.ckpt,0.5,4598,1743,37.907785993910394,81990443788.87146
95,cp_0_24.ckpt,0.5,6247,2153,34.4645429806307,58753192845.72961
96,cp_0_24.ckpt,0.5,6480,2201,33.96604938271605,37820673554.62785
97,cp_0_25.ckpt,0.5,886,565,63.769751693002256,7110979.460809452
98,cp_0_25.ckpt,0.5,1189,763,64.17157275021026,861777892.1445123
99,cp_0_25.ckpt,0.5,1202,765,63.643926788685526,818572100.7642697
100,cp_0_25.ckpt,0.5,1203,766,63.67414796342477,843129263.787198
101,cp_0_26.ckpt,0.5,944,582,61.652542372881356,7784042.934774011
102,cp_0_26.ckpt,0.5,1265,807,63.794466403162055,2293820674.3925037
103,cp_0_26.ckpt,0.5,1303,824,63.238679969301614,3069950474.0970917
104,cp_0_26.ckpt,0.5,1305,824,63.14176245210728,3008858459.66256
105,cp_0_27.ckpt,0.5,1411,772,54.71296952515946,132198589.1290797
106,cp_0_27.ckpt,0.5,1950,1084,55.58974358974359,136656439697.63907
107,cp_0_27.ckpt,0.5,2116,1136,53.68620037807183,202105424760.38843
108,cp_0_27.ckpt,0.5,2130,1140,53.521126760563384,205721089400.37183
109,cp_0_28.ckpt,0.5,849,562,66.19552414605418,9158432.181601549
110,cp_0_28.ckpt,0.5,1137,771,67.81002638522428,1995177186.9202943
111,cp_0_28.ckpt,0.5,1138,772,67.83831282952548,2055032502.527903
112,cp_0_28.ckpt,0.5,1138,772,67.83831282952548,2055032502.527903
113,cp_0_29.ckpt,0.5,415,304,73.25301204819277,26183.211310623763
114,cp_0_29.ckpt,0.5,530,399,75.28301886792453,355028.4444864314
115,cp_0_29.ckpt,0.5,530,399,75.28301886792453,355028.4444864314
116,cp_0_29.ckpt,0.5,530,399,75.28301886792453,355028.4444864314
117,cp_0_30.ckpt,0.5,1210,729,60.247933884297524,181495311.89314255
118,cp_0_30.ckpt,0.5,1681,1017,60.49970255800119,143623907420.69284
119,cp_0_30.ckpt,0.5,1733,1039,59.953837276399305,203564254644.21793
120,cp_0_30.ckpt,0.5,1745,1040,59.598853868194844,187726630314.1098
121,cp_0_31.ckpt,0.5,597,420,70.35175879396985,415971.73339827324
122,cp_0_31.ckpt,0.5,817,579,70.86903304773561,24770194.60006161
123,cp_0_31.ckpt,0.5,820,582,70.97560975609755,27067060.434741527
124,cp_0_31.ckpt,0.5,820,582,70.97560975609755,27067060.434741527
125,cp_0_32.ckpt,0.5,835,546,65.38922155688623,5593658.230865421
126,cp_0_32.ckpt,0.5,1150,749,65.1304347826087,732477582.7674443
127,cp_0_32.ckpt,0.5,1160,756,65.17241379310344,874098740.6293845
128,cp_0_32.ckpt,0.5,1160,756,65.17241379310344,874098740.6293845
129,cp_0_33.ckpt,0.5,890,574,64.49438202247191,9756374.750924423
130,cp_0_33.ckpt,0.5,1172,761,64.93174061433447,944480466.1610702
131,cp_0_33.ckpt,0.5,1185,766,64.64135021097046,1010323978.746785
132,cp_0_33.ckpt,0.5,1185,766,64.64135021097046,1010323978.746785
133,cp_0_34.ckpt,0.5,1122,689,61.40819964349376,90133675.78540383
134,cp_0_34.ckpt,0.5,1564,957,61.18925831202046,43230191917.88115
135,cp_0_34.ckpt,0.5,1622,976,60.17262638717632,51223237291.411316
136,cp_0_34.ckpt,0.5,1632,977,59.865196078431374,48197110059.781
137,cp_0_35.ckpt,0.5,675,478,70.81481481481481,1889412.3283663897
138,cp_0_35.ckpt,0.5,917,657,71.64667393675028,199162342.94000793
139,cp_0_35.ckpt,0.5,929,660,71.04413347685683,198808822.07192555
140,cp_0_35.ckpt,0.5,930,660,70.96774193548387,196820733.85120627
141,cp_0_36.ckpt,0.5,514,380,73.92996108949416,196454.2660415858
142,cp_0_36.ckpt,0.5,692,508,73.41040462427746,5226199.164520998
143,cp_0_36.ckpt,0.5,694,508,73.19884726224784,5122197.801147029
144,cp_0_36.ckpt,0.5,694,508,73.19884726224784,5122197.801147029
145,cp_0_37.ckpt,0.5,669,482,72.04783258594918,2351384.7521560867
146,cp_0_37.ckpt,0.5,901,650,72.14206437291898,177267819.37598205
147,cp_0_37.ckpt,0.5,907,653,71.99558985667034,187952090.38376752
148,cp_0_37.ckpt,0.5,909,653,71.83718371837183,184211843.78513056
149,cp_0_38.ckpt,0.5,1425,805,56.49122807017544,424410908.73204017
150,cp_0_38.ckpt,0.5,1956,1112,56.850715746421265,390030089335.45667
151,cp_0_38.ckpt,0.5,2075,1155,55.66265060240964,647699503616.67
152,cp_0_38.ckpt,0.5,2095,1158,55.2744630071599,596600408638.074
153,cp_0_39.ckpt,0.5,790,542,68.60759493670886,7504193.9552020915
154,cp_0_39.ckpt,0.5,1065,725,68.07511737089202,665202808.9062026
155,cp_0_39.ckpt,0.5,1068,727,68.07116104868913,698656523.3689046
156,cp_0_39.ckpt,0.5,1068,727,68.07116104868913,698656523.3689046
157,cp_0_40.ckpt,0.5,1399,838,59.899928520371695,2036753504.1070216
158,cp_0_40.ckpt,0.5,1941,1158,59.65996908809892,2804552527419.6836
159,cp_0_40.ckpt,0.5,2009,1187,59.08412145345943,4465968795196.002
160,cp_0_40.ckpt,0.5,2019,1188,58.841010401188704,4202131706769.3423
161,cp_0_41.ckpt,0.5,753,545,72.37715803452855,12257670.436818594
162,cp_0_41.ckpt,0.5,1055,766,72.60663507109005,3731516470.2035985
163,cp_0_41.ckpt,0.5,1065,773,72.58215962441315,4452987946.633638
164,cp_0_41.ckpt,0.5,1066,773,72.5140712945591,4408458067.167302
165,cp_0_42.ckpt,0.5,1514,849,56.07661822985469,991307020.8909299
166,cp_0_42.ckpt,0.5,2193,1211,55.221158230734154,1818193968552.882
167,cp_0_42.ckpt,0.5,2438,1277,52.37899917965546,2116395728166.6985
168,cp_0_42.ckpt,0.5,2477,1280,51.675413807024626,1610554983105.7993
169,cp_0_43.ckpt,0.5,1387,808,58.25522710886806,700253412.2426124
170,cp_0_43.ckpt,0.5,1974,1145,58.00405268490375,1202814372281.6387
171,cp_0_43.ckpt,0.5,2188,1203,54.981718464351005,1392669289726.516
172,cp_0_43.ckpt,0.5,2225,1211,54.42696629213483,1318154874158.0112
173,cp_0_44.ckpt,0.5,679,506,74.52135493372607,5502047.89012876
174,cp_0_44.ckpt,0.5,924,694,75.10822510822511,803764281.8034556
175,cp_0_44.ckpt,0.5,938,700,74.6268656716418,885591843.2923561
176,cp_0_44.ckpt,0.5,941,700,74.38894792773645,859288879.95473
177,cp_0_45.ckpt,0.5,718,529,73.67688022284122,9245781.971987903
178,cp_0_45.ckpt,0.5,983,717,72.93997965412004,1104719135.0141294
179,cp_0_45.ckpt,0.5,988,719,72.77327935222672,1137187061.3889658
180,cp_0_45.ckpt,0.5,988,719,72.77327935222672,1137187061.3889658
181,cp_0_46.ckpt,0.5,415,339,81.6867469879518,104735.51305315629
182,cp_0_46.ckpt,0.5,558,457,81.89964157706093,2665424.2500486244
183,cp_0_46.ckpt,0.5,558,457,81.89964157706093,2665424.2500486244
184,cp_0_46.ckpt,0.5,558,457,81.89964157706093,2665424.2500486244
185,cp_0_47.ckpt,0.5,510,413,80.98039215686275,755766.5725099583
186,cp_0_47.ckpt,0.5,700,568,81.14285714285714,51926532.11140504
187,cp_0_47.ckpt,0.5,701,569,81.169757489301,53484328.07474719
188,cp_0_47.ckpt,0.5,701,569,81.169757489301,53484328.07474719
189,cp_0_48.ckpt,0.5,1180,741,62.79661016949152,394669835.6756025
190,cp_0_48.ckpt,0.5,1610,1029,63.91304347826087,471576638952.6689
191,cp_0_48.ckpt,0.5,1676,1061,63.3054892601432,862859509288.6704
192,cp_0_48.ckpt,0.5,1684,1062,63.06413301662708,828368692181.5994
193,cp_0_49.ckpt,0.5,1386,845,60.96681096681097,3062634377.906801
194,cp_0_49.ckpt,0.5,1924,1167,60.65488565488565,4752077789864.068
195,cp_0_49.ckpt,0.5,1987,1194,60.09058882737796,7351155572703.901
196,cp_0_49.ckpt,0.5,1992,1196,60.04016064257028,7567207572112.298
197,cp_1_0.ckpt,0.5,1081,714,66.04995374653099,366348870.4170143
198,cp_1_0.ckpt,0.5,1500,998,66.53333333333333,417270751238.60333
199,cp_1_0.ckpt,0.5,1567,1032,65.85832801531589,818172739832.5485
200,cp_1_0.ckpt,0.5,1570,1032,65.73248407643312,793872191286.7819
201,cp_1_1.ckpt,0.5,1065,723,67.88732394366197,614539799.2355256
202,cp_1_1.ckpt,0.5,1492,988,66.21983914209115,304309903186.4953
203,cp_1_1.ckpt,0.5,1527,1007,65.94629993451211,454345748812.67773
204,cp_1_1.ckpt,0.5,1527,1007,65.94629993451211,454345748812.67773
205,cp_1_2.ckpt,0.5,1018,685,67.28880157170923,218785594.84060633
206,cp_1_2.ckpt,0.5,1410,955,67.73049645390071,187742732851.6729
207,cp_1_2.ckpt,0.5,1466,985,67.18963165075034,350909346642.67377
208,cp_1_2.ckpt,0.5,1466,985,67.18963165075034,350909346642.67377
209,cp_1_3.ckpt,0.5,1420,872,61.40845070422535,6340836900.402787
210,cp_1_3.ckpt,0.5,2042,1220,59.74534769833497,11845246408895.156
211,cp_1_3.ckpt,0.5,2220,1288,58.01801801801802,29264882529594.72
212,cp_1_3.ckpt,0.5,2231,1294,58.000896458987,33231206288394.117
213,cp_1_4.ckpt,0.5,1259,759,60.285941223193014,363957648.1427649
214,cp_1_4.ckpt,0.5,1802,1057,58.65704772475028,207570909640.71307
215,cp_1_4.ckpt,0.5,1880,1089,57.92553191489362,336648458812.6169
216,cp_1_4.ckpt,0.5,1884,1091,57.90870488322717,350043057990.2146
217,cp_1_5.ckpt,0.5,1030,692,67.18446601941747,255891152.29000127
218,cp_1_5.ckpt,0.5,1425,948,66.52631578947368,122370530709.3151
219,cp_1_5.ckpt,0.5,1458,968,66.3923182441701,193945124887.7084
220,cp_1_5.ckpt,0.5,1460,968,66.3013698630137,190085616902.443
221,cp_1_6.ckpt,0.5,1166,722,61.921097770154375,214043793.042249
222,cp_1_6.ckpt,0.5,1606,972,60.52303860523038,51344719814.11042
223,cp_1_6.ckpt,0.5,1686,1007,59.72716488730724,91914157310.64925
224,cp_1_6.ckpt,0.5,1691,1009,59.66883500887049,94615533613.25952
225,cp_1_7.ckpt,0.5,1068,719,67.32209737827715,508917608.3634138
226,cp_1_7.ckpt,0.5,1498,1000,66.75567423230974,460841535235.01965
227,cp_1_7.ckpt,0.5,1557,1034,66.40976236351959,979257980799.9403
228,cp_1_7.ckpt,0.5,1559,1035,66.38871071199488,998549363021.6991
229,cp_1_8.ckpt,0.5,892,597,66.92825112107623,23779655.315826666
230,cp_1_8.ckpt,0.5,1248,820,65.7051282051282,4553942534.228505
231,cp_1_8.ckpt,0.5,1309,851,65.01145912910619,8421653129.880175
232,cp_1_8.ckpt,0.5,1312,852,64.9390243902439,8501684099.573427
233,cp_1_9.ckpt,0.5,772,569,73.70466321243524,26201452.081984363
234,cp_1_9.ckpt,0.5,1080,796,73.70370370370371,9524147902.182285
235,cp_1_9.ckpt,0.5,1116,815,73.02867383512545,14077700082.898985
236,cp_1_9.ckpt,0.5,1116,815,73.02867383512545,14077700082.898985
237,cp_1_10.ckpt,0.5,599,459,76.62771285475793,1910791.8635916747
